review,recommended,helpful_or_not,playtime_at_review
My heart hurts,True,0,1745
"have great time playing it, wworth the price",True,0,1689
"Truly a masterpiece. Immaculate. Soundtrack is also a work of art itself... everything about this game is perfection. If you haven't played or finish this game yet, you need to.",True,0,9689
good,True,0,1796
"Absolute Masterpiece. Story, gameplay, music, visuals all outstanding. 10/10",True,0,3710
good game to play,True,0,1189
The amount of times I wanted to throw up from the emotion of this game is countless (positive).,True,0,2638
One of the GOATs. Truly stupendous.,True,0,4953
Fun combat and a good story.,True,0,5821
"I recommend this game strongly. Not for it being a good JRPG in terms of mechanics (Got a huge dislike for the combat system, otherwise everything is good) . But for being the most unique, interesting world with an even more nuanced story -- that we have seen in gaming in a decade.",True,1,2065
"9/10 - Peak gaming experience besides the UE5 curse.... I'm sorry i ever doubted your greatness. Must buy game. Changed from a turn based hater to an enjoyer. Might have to play Baulder's Gate 3 atp. 
[spoiler] Sciel used me like a piece of meat tho, npt that im complaining :( -  Choose Lune if you have self respect. [/spoiler]

Music: 10/10
Combat: 10/10
Story: 9/10 EDIT: 8/10 [spoiler] The big reveal at the end of act 2 sort of removed any attachment's I had to the main cast except Verso and Maelle. Reduced a lot of emotional impact after beating the game sadly... [/spoiler]
Voice Acting: Pure bliss
Performance: A*s

Only reason I kept playing past the 1st hour is because I used FG and DLSS balanced with Optiscaler and a ton of visual mods. Was it worth it? For this game.... Yes SIRRR

[spoiler]2nd Edit: Act 3 brings the game down to a 8.5, maybe even an 8. Imma go do the act 3 side content and see if it improves.[/spoiler]",True,0,6956
"""It might be useful""",True,0,381
"There is quite a lot of love put into this game and you can see how passionate the devs were. An incredible experience I definitely recommend jrpg fans to experience themselves. 
To start I'll say that the OST is stellar and there are so many great memorable tracks, definitely going to listen to a playlist of the OST later to pick out my favorites. Graphics are great but more importantly the art direction is incredible, between unique enemy design, beautiful and huge areas that are each so good you can't help by take screenshots and many unique yet cohesive themes to everything. Going through the world map is quite the experience. Game also has some really nice qol/ it's own take on some usual jrpg mechanics like consumable or save/checkpoints. Also enabling faster travel method early is a godsend. I do feel like you could unlock some earlier but not much to complain there.or the 2 most important aspects of the game I do feel like while both were great but there's definitely room for imporvement.

For the gameplay I really thought I'll dislike parry/dodge centric turn based combat. not because I don't like parries since both Sekiro and Nine Sols are two of my favorite games of all time and both are heavily parry based, but because I thought having parries instead of defense and having interaction with enemy be based on parrying/dodging will diminish much of the in combat strategic thinking that I like so much about turn based combat... and it honestly kinda does but the game is fairly balanced that both parries can elevate you/help you punch above your weight but don't overturn build making and changing up stuff to fit enemies and the game is fun to play... up to a certain point.Don't get me wrong game was still quite fun but as I was doing well balancing both aspect I realized at some point midway through act 2 after doing a lot of optional stuff I started melting enemies and bosses alike with my more optimized builds. Some major bosses barely got to attack more than twice. I know changing from normal to expert will likely make those bosses not die as quickly(and I intend to either switch to expert for post game stuff or do another run on expert in the future) but then I would feel like the pendulum will swing heavily into making the game rely too much on parries like I feared. I really wish this game had no parry/dodge system since the customization is great but the interactivity with my enemy feels minimal, kinda like playing yugioh I am just going through the motions of my gameplan with little regard to what my enemy is doing and the only thing the enemy can really do is just attack me multiple times.

As for the story. Overall narrative is great, I do think some of the themes weren't as well executed(but can't really talk about that without spoiling) but I was always interested in seeing what's going to happen next and the way it was presented moved me multiple times, this aspect really shined during act 2 and 3. The main cast were all very likeable, the side characters were good and the villains all were really interesting to explore. Banter around the party was great and fireplace scenes added some much needed interaction between party members and here's where I pivot into some criticism that I don't think the cast really talked as much as I expected them to, especially during dungeons/areas, much beyond commenting on what's currently going on in the area and I think the game should have had more dialogue. Certain characters had some great development, some felt neglected even when the story tried to give them their ""moment"". The social link like system felt very out of place despite some scenes being necessary(and would have been better if those were just campfire interactions or during the actual dungeon/area progression) and sometimes didn't even make sense to happen when they did. And I feel like the path the cast needed to take was relatively guided and never felt without a next destination or with a need to think what to do next. I also wanted certain aspects about the world/certain characters motivations be explored a lot more and I feel like they never will be and exploring those more might expose more flaws.

Really hard to talk about the game while being vague but I do really recommend it to anyone. Despite some faults I still loved the game and it is probably going to be top 20 if not top 10. Would score it around 9.3/10.",True,0,3365
"As a story, it is moving, poetic, tragic and beautiful.
As a work of art, it excels in all aspects. Every frame, a painting. Every design, gorgeous. Every song, a banger.
As a game, it is deep, engaging and acutely designed; totally free of the time-wasting trashspects that plague so many other turn-based RPGs.

I can't say enough good things about it. Two thumbs way up.",True,1,2015
Unsure if there's sex but it's a turn-based RPG so probably.,True,0,222
Great game,True,0,298
"Very good, story ahuet",True,0,1866
"ESQUIE!!!!!!!!. 10/10 game, very sad. but still, ESQUIE!",True,0,3988
"Masterpiece.

The story is a slow-burning emotional roller coaster, which feels very complete at the end of the game.

The combat could be described to be a hybrid of turn-based combat with the parry mechanics of souls-like games. While the combat feels difficult at times, it is also very rewarding.

Music is amazing and each piece of music feels like it was crafted to that specific scenario very well, especially in boss fights.

Character design, level design, models, animations, everything feels well put together.

10/10, would ride the roller coaster of emotions again.",True,1,1911
amazing,True,0,1417
Best of 2025-2026. It is very fun to play especially in hardest mode. But the design and storyline of Gustave and Act III need to be better trimmed or integrated.,True,0,8950
"Esse jogo é uma obra de arte. Sistema de Parry justo, música e histórias envolventes. Valeu cada minuto.",True,0,6685
World Map - Until You're Gone 10/10,True,0,4024
"One of my first games, I cried many times, It gave me so many emotions, I'm not a big gamer but I recommend this game 100%!",True,0,6157
"Finished this game on playstation last night. Never has a game made me feel both extremely happy and sad at the same time.

11/10 story, 7/10 gameplay.

I am not the biggest turn based RPG fan but the story was worth fighting through.",True,0,42
"Putain, merde, mes amis.

Cair Obscur Expedition 33 is the definition of ""ABSOLUTE CENIMA"", This game Is a love letter to the Arts (yes all of them), Clair Obscur doesnt deserve a review, Its name alone should be enough to make you keep buying the game till you're deep In debt, Thats what It deserves.

For those who come after.",True,0,896
this is what french people go through every day... really makes you think,True,1,2061
"Story: 10/10
Graphics: 10/10
Music: 10/10
Gameplay: for a turn based game its a 10/10
Replayability: 7/10
Overall: 9.5",True,0,3561
Masterpiece,True,0,2721
"Finally got to play this game for the first time after getting a new PC and without a doubt it is one of THE best games I have ever played, from the story to the gameplay to the art design and lastly of course the soundtrack. Nothing that has come out in the last few years even comes close to the quality that is on show in the game.",True,0,1863
Nice,True,0,405
unreal,True,0,5805
"10/10 absolute cinema, one of the absolute best games i've ever played, everything about it is amazing but especially the characters and world building was top tier creativity.",True,0,5530
A wonderful experience.,True,0,3968
"Don't give me bench and tell me I'm not allowed to sit on them

the rest is nice",True,0,202
"E33 is one of the best games I have ever played. Where do I even start? I went into the game excited to have a fun, new game to play only to leave with a giant wound in my chest. I don’t know what it is I was expecting but I thought it would just be a fun time exploring and figuring out the storyline but it turned into me being so invested and having my heart ripped out. 
First, let me start with the visuals, they are absolutely gorgeous and stunning. Every second and place I turned to, my breath was just taken away from the scenery and the attention to detail in every corner on the map and within each area. And that’s only about the scenery. The soundtrack pulls you in with every note hit and you can’t help but be drawn into the game with every song that plays. I got so invested just from the scenery and music alone! Each song used for each area and scene just makes you feel the emotions they want portrayed within the storyline and what it is you’re seeing that it almost feels like you become apart of the game yourself. 

Now onto the storyline, it’s absolutely phenomenal, you’re left the whole time questioning and wondering what is actually happening behind the scenes, what is the real story going on here? When you think you figured it out and understood, another quote from any character and any new fact discovered makes you start questioning even more about if you really know the characters you’re playing and if you really know what the storyline is trying to tell you. I won’t give any spoilers but everything combined definitely made me have waterworks and bawl my eyes out soooo frequently with this game! My emotions were at an all time high all the way through and I just couldn’t help but get attached to every character met and played. The plot twists that were there also left me just in shock and the fact that everything leading up to it made so much more sense! I’m definitely going to be replaying it again now that I know what I know. 

Now there is some discourse about the gameplay but all I have to say is if you don’t play because of the fact it’s turn based– you are robbing yourself of experiencing such an impeccable storyline and game. There’s not enough words to describe how this game made me feel and I feel it’ll always stick with me. I’m definitely not the same person I was before I played haha. I can’t recommend this game enough!",True,0,6073
Peak gaming,True,0,4854
Just Absolute CINEMA!!!!!!!!!!!!!!!!!!!!!!!,True,0,2661
"This game looks great, has very likeable characters and an exceptional story and soundtrack, but the combat is very boring and mindless. Its flashy and looks good and has unique enemies and interesting  npc's, but every encounter is literally just a series of QTE's from start to finish and it got old and repetitive very quick. I think this would have made a WAY better movie than a game, but that's just my opinion.",False,2,70
W game,True,0,2849
Everything about this game is heartbreaking and beautiful. The gameplay is a nice spin on the turn-based combat systems I grew up with. The story and the characters are are amazing. The art and graphics are mind-bending and stunning. There's nothing bad I can say about this game and I highly recommend it.,True,0,6444
"The experience has been great. I've never thought I'd enjoy a turn based RPG again but now I understand.

There's occasional crashes. But I turned down the resolution from 4k low to 1080p high and experience has been stable and enjoyable.",True,0,1246
The game is too good,True,0,3605
"Incredible story, incredible visuals, great turn-based team RPG. I would play any game like this.",True,0,2556
Really great plot and graphics. Controls are a bit hard to navigate but it adds a layer of difficulty that I welcome in this modern era of video games.,True,0,757
This game is unbelievable. 10/10. Could not recommend more for the story alone. Every one should play this through at least once.,True,0,1666
Constant fatal error crashes they never bothered to fix.,False,0,145
neat plot but the dialog is pretty overly dramatic and the characters are dull/generic.  The game gives you lots of abilities but none of them seem to be more important than the dodge or die mechanic.,False,0,847
"The combat is addictive when it works, and the story is decent. But the combat working is a big if, i check in medal when i fail a parry and 95% of the time my weapon is actively in the parry animation. I've checked the wiki, the parry counts the moment you press the button. Also for so many enemies the successful parry window is after the enemy already finished their attack. I'm shocked this won GOTY, i was expecting a fair bit more polish for that title.",False,1,1737
999999 rewards and crashes after a boss fight without saving,False,0,1189
"Magnique histoire, musique sublime",True,1,794
"I’ve been playing games for most of my life. I love difficult games, complicated systems, bosses that make you question your life choices, and achievements that turn “just one more try” into 5 AM.

I just finished Expedition 33 with almost every achievement unlocked, and I can say this without hesitation: this is one of the best games I have ever played.

The soundtrack alone deserves an award. There are games with good music, games with great music, and then there are games where you stop what you’re doing just to listen. Expedition 33 belongs to the last category. The music doesn’t simply accompany the game — it becomes part of its identity. Even after finishing it, some tracks are still playing in my head.

The story is another huge highlight. It is unusual, unpredictable, emotional, and refreshingly unwilling to follow the most obvious path. I spent a lot of time trying to guess where things were going, and the game repeatedly reminded me that I wasn’t nearly as clever as I thought I was. No spoilers — just know that it rewards paying attention.

The characters feel like actual people rather than quest dispensers with tragic backstories attached. They have personalities, flaws, chemistry, humor, and believable relationships with each other. By the end of the game, I genuinely cared about this group.

And then there is the combat and progression system.

This is where the hardcore-player part of my brain became extremely happy.

There are plenty of ways to build your characters, experiment with different combinations, optimize your setup, abuse synergies, completely rethink a build, and then discover something even more ridiculous twenty minutes later. Progression feels meaningful rather than being just “number goes up.” The game constantly gives you new toys and encourages you to figure out how badly you can break them.

The combat itself manages to make turn-based battles feel active and intense. When everything clicks — your build works, your timing is right, and you execute a difficult fight almost perfectly — it feels fantastic.

And yes, some encounters can absolutely destroy you.

Good.

I wouldn’t have wanted it any other way.

What impressed me most is how complete the whole experience feels. Great combat alone would have been enough. A great story alone would have been enough. Great characters or an incredible soundtrack would have been enough.

Expedition 33 somehow has all of them.

I started playing because the game looked interesting.

I finished it hunting almost every achievement, listening to the soundtrack outside the game, and wondering what exactly I’m supposed to play after this.

That might be the biggest problem with Expedition 33:

It makes other games (especially the new ones from the big studios) feel worse.

10/10.",True,1,5242
"A game hasn't made me feel this way in a very. very, long time. I have been a RPG player since the late 80s (Final Fantasy I, Diablo I, Lands of Lore, Fallout I, Myth: The Fallen Lords, etc.) The story, characters, combat, MUSIC, graphics, and challenge (I play Hard/Expert on first playthrough due to little free time these days) fit so well together. I can honestly say this is one of the greatest games released in over a decade and is absolutely cemented as one of the GOAT's. It deserved all of the awards it received, no question. This game isn't for everyone but as a old-school RPG player who has seen many of his favorite titles go down the tubes of ""modern audiences"", HR compliance, half-finished $60+ games, and corporate slop, including my beloved Final Fantasy franchise (this is what FFXVI should have been). This was a breath of fresh air and made me feel the way I did back when RPG's meant something. Cannot recommend it enough, the fact that it is $40 is just the cherry on top. ""For those who come after.""",True,1,8457
Peak,True,1,2333
"If you are story driven like me, then save yourself a lot of time and frustration, and just watch the cutscenes or a 'let's play' on youtube.  IMO, this would have been much better as a movie or TV series, because the story was intriguing, but the convoluted combat system just gets in its way and makes the whole thing feel like a slog.  The game presents a frustratingly high amount of choices and customizations for each character, giving them each a unique skillset to puzzle out, on top of dozens of weapons with their own set skills, and 'picto' abilities that can drastically change how a character performs in combat.  It requires you to configure a handful of these options from that massive list for each of your characters (seperately) to actually use in combat, meaning that even on easy mode, the game won't let you ignore those systems and just beeline the story, forcing you to spend hours reading abilities and sorting through endless menus.  I got pretty deep into act 2, and was finding the story quite captivating, but no matter how good the story is, it's just not worth this level of effort for someone like me, who doesn't enjoy this style of overcomplicated turn based game.",False,0,3321
"I might be a little bit too emotional, and maybe that's the reason I've connected so well with this game, but this is easily the best game I've ever played. 

I have been playing videogames since I was a kid, 7/10 years old, the connection I felt with this game is beyond real, I have never felt such a strong connection with any other videogame before, this game has overwhelmed all my senses and my perception of reality

I thought Elden Ring made a big impact in my life, because of the art it has, etc. but this game gave it a meaning, it made me realize a lot of things, I will genuinely go hug my mom now

And yes, I don't have enough words to recommend this game, just play it already",True,1,2889
"For those who come after.

10/10",True,1,2856
"The music is unbeatable, gameplay is extremely fun, and the story draws you in immediately. First game in ages that I've felt like 100%'ing, and it was so worth it. Absolutely beautiful game all around.",True,1,7652
"10/10 game, got all the best element of JRPG without the annoying dialogues",True,1,3924
"Game is amazing. I can't recommend it enough. The story, music, characters, graphics, gameplay ... it's all great. 
Small indie developer shows AAA companies that not money, but passion and care is what makes games great.",True,1,7713
"10/10 soundtrack
10/10 story
10/10 visuals
7.5/10 combat
10/10 Lune/Sciel feet",True,1,1660
"I dont think there is to much to say - the game is simply fantastic.
Gamplaywise it reminded me of ""The Last Remnant"" which I really enjoy.

Explore freely, based on your unlocked movement. Combat starts if you innitiate it or get hit by an enemy.
Then it comes to turnbased combat with some quicktime events (you can disable if you prefer).

The story was interesting and so was the worldbuilding. The graphics are beautiful and the songtracks are just masterpieces.

Depending on where you are in the story and how well you adapted its also not like the fights will get boring or easy.
I now played through one ending of the main story, slayed some optional bosses but not all of them (for some I'm just to incompetent to doge) and I also still need to get the other ending.",True,1,3329
This game should easily be Overwhelmingly Positive overall. No idea why recent would be Very Positive.,True,1,1887
"very wow, very good, very boom",True,1,4715
"A damn good game, but deeply overrated. I highly recommend it, but it's not the flawless masterpiece most claim it to be.",True,1,48
♥♥♥♥♥♥♥ AMAZING.,True,1,256
"(10/10) An unforgettable experience.

I loved absolutely everything about this game. The story, the soundtrack, the combat system, exploration.. everything felt so well thought out.

The turn based combat combined with dodging and parrying makes every encounter challenging, satisfying and very addictive. The world is big enough to explore and discover things but still focused enough to never feel overwhelming. 

I feel the game was just the right length too. Just enough content without dragging things out forever. (Don't get me wrong, the game can be very long if you want and there are so many builds to try out that you can even play this forever)

I honestly struggled to find anything I didn't like. 

This is one of those rare games you play and can never forget. Worth every penny.",True,3,2961
Beautiful,True,1,2769
absolute cinema,True,1,3106
Best game ever. The emotional ending gave me a great insight on real life. That rarely happens to me with a game.,True,1,2519
MASTERPIECE,True,0,1707
Great soundtrack and storytelling,True,1,3774
"A moment of silence for Sandfall Interactive, whose next game will be judged based on this one...",True,2,5480
once in a life time experience,True,1,3175
[u]Banquet[/u],True,80,568
what a fantastic game,True,0,1658
Absolute Cinema 100/10,True,0,4466
"I'm personally not a fan of the combat system. Story seems to be well written and visuals are crazy good. If you don't like turn based rpgs, don't play. If you do, you'll probably enjoy it.",False,0,115
"The first 2/3s of this game is actually great. There are some bugs but nothing crazy. The story was outstanding up until the end of act 2 at which point they basically throw the story away along with all of the things you enjoy about the game for some BS ""Emnite Shyamalan"" twist that makes no sense at all. Its such a shame because the beginning of the game had such promise. I was trying to figure out how this game won game of the year and then i noticed that less than half of the players on steam have the  ""Defeat the Paintress"" achievement. This means that less than half of the players on steam have seen the absolute dumpster fire that is the final act. I strongly recommend that you NOT get this game unless you have a LOT of time to blow for a throw away ending.",False,2,2296
