review,recommended,helpful_or_not,playtime_at_review
This game makes you wants to  jump off a bridge come back and jump off again like poor skill base matchmaking all these character needs to get rebalanced and these mfs on here don't make the game fun no more like if these MFS ever rebalance these character ill reconsider but as of now ♥♥♥♥ this game all the way to the deep part of hell,False,0,5295
Lucio,True,0,102456
this game pushes you to the edge a little too far for comfort,True,0,59820
Junker Queen,True,0,334
"The game is fine but forced camera angles and the disconnect system are unacceptable

The game is just fine but it suffers from frustrating design choices and technical issues that ruin the experience.

First of all the spectator system and character designs force unwanted content on players. The moment you die the camera automatically forces you to spectate teammates. What is infuriating is that the system blatantly prioritizes female characters like Mercy or Kiriko with overly sexualized designs while almost never switching to male heroes.

Maybe the majority of players enjoy looking at these models but there is a minority of us who just want to play with friends without being forced to see this content. To make matters worse there is zero customization in the settings to disable auto spectating or hide these sexualized character models.

Second is the major technical flaw in the disconnection and penalty system. If your internet stutters for just a single second the game immediately kicks you out completely. Reconnecting takes so much time that you end up getting slapped with an unfair match ban.

Why is the system so unforgiving? In other games like CSGO a brief internet drop does not throw you out of the game entirely. You stay in the match and resume playing immediately once the connection stabilizes within seconds. Why is there such a massive punishing difference in Overwatch 2?

These issues need immediate attention and developers must add proper settings and toggles that respect players time and preferences.
I think no one cares about my opinion, and that's completely normal as long as I'm in the right.",False,0,103484
gay,False,2,21003
i like this game but not the community,True,0,15204
"Haven't played ranked yet, so this game is fun!!!!",True,0,2486
It's Overwatch,True,0,235
fun,True,0,139
BUFF GENJI,True,1,6452
ggs ez,True,0,3457
its sweet and sour at the same time,True,0,15512
people only use the same two damn tanks,False,1,2465
k/;',False,1,12385
NO,False,0,15918
those europeans are annyoing,False,0,11559
Worst game ever made by the worst gaming company ever,False,0,402
This game is extremely fun,True,0,195
is godd but gooner game lowk,True,0,294
Trying too hard to make the game snowflake friendly.,False,0,606
very goonable,True,0,6772
"Good PVP game. Good abilities, interesting lore for the most part. Awful servers. You can and will get suspended or even banned for the game D/Cing you when you have perfect internet. The only reason the game is doing well is because Marvel Rivals challenged their top spot so they actually had to put in effort. I have met a lot of friends and will continue to play this ♥♥♥♥ ass game but if you're considering getting into it, don't.
Owned by Blizzard who is owned by Microsoft. Microsoft has cut significant funding to them which has caused them to have to fire a lot of their staff.",False,0,56719
"This game is not free, every match, every death, every ult, and every hero will cost you pieces of your sanity until you have nothing left.",False,0,6825
"my fav fps game, i love u overwatch <3",False,0,5669
melhor do que ficar scrollando rede social,True,0,1804
"theres a cat now, so thats really cool",True,0,38822
Feels like a full game unlike a lot of free things out there.,True,0,979
Team bad,False,0,2396
its doesnt run because my phone number is prepaid (my country only has prepaid numbers) now i hate the game and the whole company behind it,False,0,57
its good,True,0,1523
Ta bueno,True,3,12965
ahhhhhhhh,False,0,639
"Overwatch is still one of the smoothest and most enjoyable competitive games I’ve played.

The optimization is excellent. The game runs incredibly smoothly even on lower-end hardware, while still looking great. The gameplay is fast-paced, matches usually don’t take too long, and there’s very little downtime, so it’s very easy to jump in for a few games without committing an entire evening.

Competitive mode is intense and genuinely competitive. The ranking system does a pretty good job of creating close and challenging matches, and climbing the ranks can be extremely satisfying.

Quick Play is surprisingly fun as well. A lot of players still take it seriously, so it sometimes feels like Competitive mode for people who just want to escape Competitive for a while.

The character skins are also excellent. Blizzard does a great job keeping the designs consistent with each hero’s personality and overall theme instead of simply throwing random cosmetics into the game.

Gameplay mechanics are generally well balanced considering how many heroes, abilities, counters, maps, and team compositions exist. Obviously, perfect balance is impossible in a game like this, but overall it feels surprisingly well managed.

Blizzard’s punishment system is also pretty strict when it comes to players who break the rules, leave games, or behave badly. Personally, I think that helps keep the experience healthier.

The community is actually pretty good too, especially compared with many other competitive online games. Of course there are toxic players occasionally, but overall my experience with the player base has been very positive.

And somehow, after all this time, I still haven’t encountered an obvious hacker. That alone deserves some credit.

Another big reason the game stays fresh is the constant introduction of new heroes. New characters, abilities, and team compositions keep changing how the game plays, so it rarely feels boring. This year in particular has been great in that regard.

Although Blizzard... maybe give Support players a little more love next time? Haha.

There are still a few things I don’t like.

The biggest problem is that there are simply too many game modes. Arcade especially feels overcrowded with different modes, which spreads the player base too thin instead of concentrating players into a few strong playlists.

The other issue is that the game still seems unable to fully decide whether it wants to be 5v5 or 6v6. Supporting both formats sounds good in theory, but in practice it divides the matchmaking population even further. When the player base is already smaller than it used to be, splitting players between two major formats can make matchmaking feel unnecessarily fragmented.

Overall, though, Overwatch remains incredibly fun, polished, competitive, and easy to keep coming back to. Very few games manage to combine fast gameplay, strong hero design, good optimization, competitive depth, and this much variety as well as Overwatch does.",True,1,22588
"I miss you, Overwatch 1.",False,0,5472
awful matchmaking get ready to have 2 and 12 dps in diamond rank,False,0,93570
"Really good game at its base, but developers try their best to make it worse at every turn.

The good:
1. Perfect sound design and soundmaster.
Never ever have I found a PvP game that gets this as good as OW; I get about 50% of my info through sound. Especially compared to Marvel rivals, it's night and day

2. Beautiful character and map design.
The characters have unique visuals and stories, the same with the maps. It does this while keeping competitive integrity. 

3. Hero designs are fun but are still mostly fair to play against.

The bad:

1. 5v5: As an OG, 5v5 is a clear downgrade in team play, and while you have the option to play 6v6, it gets held back by all the global systems still in place for the 5v5 mode.

2. Monetization: Horrendously overpriced skins and a price structure that does not make sense at all: A 10€ Battle Pass gets you like 8 skins and a mythic skin (80€ on its own). At the same time, they want to sell you worse mythics or ultra skins for 40€. Luckily, if you don't care about skins, all the other actual content is free. The saving grace here is the free loot boxes that can give you skins from last year for free.

3. Ranked: Ranked is actually really good at making balanced matches and putting you in the right elo. But there is no reward for actually being good. All the reward is just for playtime. Even the top 500 leaderboard is just the list of players that play the most, not the ones that are the highest ranked.

Comparison to Marvel rivals:
If you are looking for a competitive game, Overwatch is the clear winner; the ranked mode is far more balanced and closer to a balanced Elo system, is way more readable and has better net code.  For a more casual game, OW is more readable, but Rivals offers more content in the same timeframe, so you can pick what you like more. If you like more story in games, I think Rivals is way better since they have all the comics.
In terms of monetization, I think it's about the same since rivals force you to gamble for some skins, which is always going to be scummy. Overwatch also runs about twice as well on my overkill PC and runs a lot better on older machines.

Overall, I recommend Overwatch. Even if it gets held back by most of the stuff they introduced in OW2. But just because it's worse than the original game does not mean it's bad, its still good. Don't let the mixed reviews fool you, it's mostly people rightfully wishing back the old times.",True,0,67071
"It is not yet perfect, but I wish this game will grow once again! Matchmaking in Casual thou is too unbalance",True,0,1013
good game,True,0,3118
gold people will stay ♥♥♥♥♥♥♥ forever.,True,0,10579
"the game is full of a bunch of pizza faced monkey creatures that think they are god-tier mechanical freaks who possess the intellectual prowess of ♥♥♥♥♥♥♥ socrates, and in reality they are running it down mid; if you want to ♥♥♥, this will make you want to hurt someone else instead",False,0,6691
worst hero shooter ever. every ranked game is like shoving a needle with aids (and herpes) in your body and then having to get multiple females to kiss you,False,0,3266
zenyatta,True,0,14106
no,False,0,40804
vance diddynucci sucks at genji,True,0,2496
i like playing with my friends,True,0,278
zbeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,True,0,1158
game pisses me off but its very good,True,0,1305
this game ruined my life i have over 1000 hours on it,False,0,61023
♥♥♥♥ matchmaking,False,0,8139
LITERAL BRAIN ROT ADDICTION,False,0,79393
"I love this game. ♥♥♥♥♥♥♥ ♥♥♥♥♥♥♥ players every game. Dps, tank, and healers are just god awful and never touched a kbm in their life. I hope the devs die. I switched from marvel rivals back to overwatch after 2 years and i came back to a bunch of ♥♥♥♥♥♥♥ egirls every game. And nerf genji.",False,0,28269
good,True,0,1083
Pretty Solid,True,0,761
I love game,True,0,2863
vomit,False,0,464
This game wants me to rip my eyeballs out of my head.  I hate this game so much I would rather go to aushwitz then play this game everyday.   I get the worst teammates every game worst matchmaking ever ♥♥♥♥ this ♥♥♥♥♥♥♥ game.  If you see ricerolls review he is completely lying this game is ♥♥♥♥♥♥♥.,False,0,5798
this game makes me wanna gouge my eye balls out,False,0,300
great game to play with friends that has consistent updates (just don't play competitive),True,0,217
my head,True,0,1293
Yes,True,0,214
I never seen a game foster such a toxic community.,False,0,18404
I like that one emote,True,0,7561
no,False,0,3081
"I started playing overwatch during 2016, and truly it was an amazing game with the power balancing and how little there was to have to comprehend without all the different voicelines and AOE attack; but now it seems as I've come back to Overwatch none of those skills matter anymore.

Now, I understand wanting to add onto your game and add characters. That's completely fine and some of these new characters I actually enjoy. I.E. I enjoyed playing Doctrine during his beta stage and got some of my best plays lately with him, I'm not hating on that. As a write, however, it upsets me knowing that Overwatch is turning into a cash grab with all these bikini skins and other oversexualized and complete character changing skins (widowmaker, anran, juno, kirko, vendetta) instead of writing more of their lore. Personally I find this to be 'Gooner-Material.' If you listen to Mcree voicelines, Domina voicelines, and Rammatra voicelines you definitely hear how some of these can be labled 'gooner-material', but that's just an opinion.

All in all, I don't reccomend this game for someone with slow processing, maybe I would have back in 2016-2017 but now? I can hardly comprehend anything, and it makes my game lag so much I have to play Moira and Mercy because I cannot aim with this ping I get. My computer isn't even that bad.",False,0,12409
"Im new gen, so all the history of overwatch has been something I had to learn recently. I cant really express bad feeling about it because my first 24 hours in the game have felt pretty enjoyable. So good on overwatch, dont do more awful mistakes!",True,0,1492
i do,True,0,11855
imbouttocum,True,0,4029
"Removed DPS Doomfist, added insane amount of cash grab, insert random OC from a developer without any proper character building, makes her solo the most feared man of the World who yields the strongest weapon in a minute. Seems about right.",False,0,9851
better than Racist rivals,True,0,1306
This game is still as fun as ever even after all of these years,True,0,6882
"The ranked the experience is abysmal. Match making is terrible, the community is Unbearable,",False,0,37781
"Absolutely horrid, my husband hates it.",False,0,5323
no go outside,False,1,66652
ur better off doing anything else w/ ur ime,False,1,378
♥♥♥♥ sierra,True,0,8680
this game has ♥♥♥♥♥♥ my chud life... it even made me get a job,False,1,549
DO NOT PLAY THIS GAME,False,0,56660
